鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
処|処置; 処す; 処理; 処分; 処方箋; 処罰; 目処|`sho``chi`; `sho`su; `sho``ri`; `sho``bun`; `sho``hou``sen`; `sho``batsu`; `me``do`|deal with, give medical treatment; to sentence/condemn, to deal with; deal with shit; deal with, dispose of, punish; (medical) prescription; punishment; aim, goal, prospect, outlook|sho:処置,処す,処理,処分,処方箋,処罰;do:目処
理|処理; 理屈; 理由; 真理; 税理士; 理解; 料理; 理想; 代理; 理不尽; 推理; 生理; 不条理; 調理; 監理|`sho``ri`; `ri``kutsu`; `ri``yuu`; `shin``ri`; `zei``ri``shi`; `ri``kai`; `ryou``ri`; `ri``sou`; `dai``ri`; `ri``fu``jin`; `sui``ri`; `sei``ri`; `fu``jou``ri`; `chou``ri`; `kan``ri`|deal with shit; logic; reason; truth; tax counsellor; understanding; cooking; ideal; proxy, representative, suru: represent; unreasonable; reasoning, deduction; physiology, menstruation/one's period; unreasonable, irrational, absurd; cooking, cooking prep; supervision, administration|ri:処理,理屈,理由,真理,税理士,理解,料理,理想,代理,理不尽,推理,生理,不条理,調理,監理
円|円滑な; 円形; 円満; 円周|`en``katsu` na; `en``kei`; `en``man`; `en``shuu`|smooth; round shape; harmonious, peaceful, smooth, complete, perfect; circumference|en:円滑な,円形,円満,円周
滑|円滑な; 滑る; 滑らか; 滑走; 滑走路; 滑稽; 滑走|`en``katsu` na; `sube`ru; `name`raka; `kas``sou`; `kas``sou``ro`; `kok``kei`; `kas``sou`|smooth; slide; smooth; gliding, sliding, skating, taxiing (aircraft); runway; comical, humorous, laughable; slide, roll, glide|katsu:円滑な;sube:滑る;name:滑らか;kaxtsu:滑走,滑走路;koxtsu:滑稽
沢|沢; 沢山; 光沢; 軽井沢|sawa; `taku``san`; `kou``taku`; `karu``i``zawa`|marsh; many; luster, polish, glossy finish; Karuizawa (summer resort area nw of tokyo)|sawa:沢,軽井沢;taku:沢山,光沢
仲|仲がいい|`naka`gaii|get along well|naka:仲がいい
今|今夜; 昨今|`kon``ya`; `sak``kon`|tonight; these days, nowadays, lately|kon:今夜,昨今
夜|今夜; 深夜; 徹夜|`kon``ya`; `shin``ya`; `tetsu``ya`|tonight; late at night; all night|ya:今夜,深夜,徹夜
権|人権; 権利; 権威; 権化; 権現; 政権; 暫定政権; 覇権; 選挙権; 被選挙権; 意匠権; 職権; 権限; 名無しの権兵衛; 債権|`jin``ken`; `ken``ri`; `ken``i`; `gon``ge`; `gon``gen`; `sei``ken`; `zan``tei``sei``ken`; `ha``ken`; `sen``kyo``ken`; `hi``sen``kyo``ken`; `i``shou``ken`; `shok``ken`; `ken``gen`; `na``na`shino`gon``be``e`; `sai``ken`|human rights; rights; authority, power, influence; incarnation, avatar; manifestation of Buddha/boddhisattva; (political) administration, political power; provisional government; hegemony, dominance; right to vote, suffrage; eligibility (for election); design rights; one's (official) authority; jurisdiction, authority, power; Mr. Nobody, John Doe; credit, claim|ken:人権,権利,権威,政権,暫定政権,覇権,選挙権,被選挙権,意匠権,職権,権限,債権;gon:権化,権現,名無しの権兵衛
利|権利; 利く; 砂利; 利害; 便利; 有利; 鋭利|`ken``ri`; `ki`ku; `ja``ri`; `ri``gai`; `ben``ri`; `yuu``ri`; `ei``ri`|rights; to do (more than) enough (気が利く), speak(口を利く); gravel; advantages and disadvantages, interests (of parties); convenient; advantageous; sharpness|ri:権利,砂利,利害,便利,有利,鋭利;ki:利く
京|京都; 上京; 帰京|`kyou``to`; `jou``kyou`; `ki``kyou`|Kyoto; go to tokyo; going back to tokyo|kyou:京都,上京,帰京
都|京都; 都; 都合; 都市|`kyou``to`; miyako; `tsu``gou`; `to``shi`|Kyoto; capital; circumstances; city|to:京都,都市;miyako:都;tsu:都合
亜|亜流; 東亜|`a``ryuu`; `tou``a`|(mediocre) imitation; East Asia/Orient|a:亜流,東亜
流|亜流; 流れる; 交流; 流石; 濁流; 流行; 流行る; 上流階級|`a``ryuu`; `naga`reru; `kou``ryuu`; sasuga; `daku``ryuu`; `ryuu``kou`; hayaru; `jou``ryuu``kai``kyuu`|(mediocre) imitation; to flow; (cultural) exchange, (inter-)mingling, (social) networking; as expected; muddy stream; fashion, fad, craze, vogue, prevalance (of a disease); to be popular, to be in fashion, to be prevalant (e.g. disease); upper class|ryuu:亜流,交流,濁流,流行,上流階級;naga:流れる;sasuga:流石;hayaru:流行る
乳|乳首; 乳; 乳母車; 乳房; 搾乳; 加工乳|`chi``kubi`; chichi; `u``ba``guruma`; `chi``busa`; `saku``nyuu`; `ka``kou``nyuu`|nipple; breasts; baby carriage; breast, udder; milking (a cow, a goat, etc.); processed milk|chi:乳首,乳房;chichi:乳;u:乳母車;nyuu:搾乳,加工乳
東|東亜; 東洋; 中東|`tou``a`; `tou``you`; `chuu``tou`|East Asia/Orient; the Orient; Middle East|tou:東亜,東洋,中東
丸|丸める; 弾丸|`maru`meru; `dan``gan`|to make round, roll up; bullet|maru:丸める;gan:弾丸
景|不景気な; 景気; 風景; 景色; 景品; 光景|`fu``kei``ki` na; `kei``ki`; `fuu``kei`; `keshi``ki`; `kei``hin`; `kou``kei`|gloomy, cheerless; condition, state, business; scenery; scenery; gift, prize (e.g. pachinko); scene, spectacle, sight, view|kei:不景気な,景気,風景,景品,光景;keshi:景色
屈|不屈の; 理屈; 退屈; 窮屈; 屈指; 屈する; 屈服; 屈める|`fu``kutsu`no; `ri``kutsu`; `tai``kutsu`; `kyuu``kutsu`; `kus``shi`; `kus`suru; `kup``puku`; `kaga`meru|unyielding, indomitable; logic; boring; narrow, tight, cramped, formal, stiff, rigid; leading, foremost; to yield, to submit, to surrender; suru: to yield, to sumit, to surrender; to bend (e.g. one's knee), to stoop|kutsu:不屈の,理屈,退屈,窮屈;kuxtsu:屈指,屈する,屈服;kaga:屈める
上|上昇; 上京; 上達; 召し上がる; 向上; 上告; 上澄み; 屋上; 上棟; 上位; 立ち上がる; 上値; 上司; 棚上げにする; 机上; 陸上; 上陸; 頭が上がらない; 上等; 行きがかり上; 途上; 上流階級; 浮上; 格上; 身の上話; 風上; 風上に置けない; 上書き|`jou``shou`; `jou``kyou`; `jou``tatsu`; `me`shi`a`garu; `kou``jou`; `jou``koku`; `uwa``zu`mi; `oku``jou`; `jou``tou`; `jou``i`; `ta`chi`a`garu; `uwa``ne`; `jou``shi`; `tana``a`genisuru; `ki``jou`; `riku``jou`; `jou``riku`; `atama`ga`a`garanai; `jou``tou`; `i`kigakari`jou`; `to``jou`; `jou``ryuu``kai``kyuu`; `fu``jou`; `kaku``ue`; `mi`no`ue``banashi`; `kaza``kami`; `kaza``kami`ni`o`kenai; `uwa``ga`ki|ascend, rise (e.g. a plane); go to tokyo; suru: improve, become proficient in; eat (honorific); on the rise, looking up, advancing; final appeal to highest court; top [clear] layer (of soup, etc.); rooftop; raising the ridgepole; high rank, superior; to rise up, to stand up and take action; higher price, price rise; one's boss/superior; to shelve, to pigeonhole; on the desk; land, ground, track-and-field; disembarking, landfall; can't thank you enough (X ni atama etc.); first-class, "Now that's what I'm talking about!"; by force of circumstance; en route, in the process of (development, etc.); upper class; surfacing, rising to the surface; a higher rank/status; life story, story of one's life; windward, upwind; a disgrace (to a whole group); overwrite|jou:上昇,上京,上達,向上,上告,屋上,上棟,上位,上司,机上,陸上,上陸,上等,行きがかり上,途上,上流階級,浮上;a:召し上がる,立ち上がる,棚上げにする,頭が上がらない;uwa:上澄み,上値,上書き;ue:格上,身の上話;kami:風上,風上に置けない
昇|上昇; 昇る; 昇降; 昇給|`jou``shou`; `nobo`ru; `shou``kou`; `shou``kyuu`|ascend, rise (e.g. a plane); to climb; ascending and decending; salary increase, suru: to get a pay raise|shou:上昇,昇降,昇給;nobo:昇る
三|三日月; 三輪車; 第三者; 三昧; 三角; 再三|`mi``ka``duki`; `san``rin``sha`; `dai``san``sha`; `san``mai`; `san``kaku`; `sai``san`|crescent moon; tricycle; third party; samadhi, being absorbed in/immersed in (usu. zanmai); triangle; again and again, repeatedly|mi:三日月;san:三輪車,第三者,三昧,三角,再三
月|三日月; 毎月; 蜜月; 満月; 生年月日; 月給; 翌月|`mi``ka``duki`; `mai``tsuki`; `mitsu``getsu`; `man``getsu`; `sei``nen``gap``pi`; `gek``kyuu`; `yoku``getsu`|crescent moon; every month; honeymoon; full moon; date of birth; monthly salary; the following morning|tsuki:三日月,毎月;getsu:蜜月,満月,翌月;gaxtsu:生年月日;gextsu:月給
般|一般の; 諸般|`ip``pan`no; `sho``han`|generic, ordinary; various, several|han:一般の,諸般
塁|一塁; 満塁|`ichi``rui`; `man``rui`|first base; bases loaded|rui:一塁,満塁
現|現金; 現代; 現れる; 現す; 現場; 現実; 表現; 顕現; 再現; 権現; 現状; 現象|`gen``kin`; `gen``dai`; `arawa`reru; `arawa`su; `gen``ba`; `gen``jitsu`; `hyou``gen`; `ken``gen`; `sai``gen`; `gon``gen`; `gen``jou`; `gen``shou`|cash; present-day; appear, materialize; to reveal, show; actual spot; reality; expression; suru: to manifest; reproduce, make reappear; manifestation of Buddha/boddhisattva; present state/condition; phenomenon|gen:現金,現代,現場,現実,表現,顕現,再現,権現,現状,現象;arawa:現れる,現す
金|現金; 金銭; 税金; 資金; 冶金; 金の亡者; 残金; 賞金; 金庫; 金堂; 金棒; 金融; 罰金; 黄金|`gen``kin`; `kin``sen`; `zei``kin`; `shi``kin`; `ya``kin`; `kane` no `mou``ja`; `zan``kin`; `shou``kin`; `kin``ko`; `kon``dou`; `kana``bou`; `kin``yuu`; `bak``kin`; `ou``gon`|cash; money; tax; funds; metalurgy; person who desires only money; remaining money, balance; (monetary) prize/award; safe (for storing money); main hall of a temple, golden pavilion; iron club, metal rod; finance, circulating of money; fine, penalty; gold|kin:現金,金銭,税金,資金,冶金,残金,賞金,金庫,金融,罰金;kane:金の亡者;kon:金堂,黄金;kana:金棒
表|表す; 表現; 代表; 公表; 時刻表; 図表; 年表; 表; 表明; 表示; 表彰; 辞表; 表紙|`arawa`su; `hyou``gen`; `dai``you`; `kou``hyou`; `ji``koku``hyou`; `zu``hyou`; `nen``pyou`; omote; `hyou``mei`; `hyou``ji`; `hyou``shou`; `ji``hyou`; `hyou``shi`|to represent, signify, stand for; expression; representative; official announcement; timetable, schedule; chart, diagram; chronological table; surface, front; declaration; suru: indicate, express; to publicly commend; letter of resignation; cover (e.g. of a book)|arawa:表す;hyou:表現,公表,時刻表,図表,年表,表明,表示,表彰,辞表,表紙;you:代表;omote:表
実|実る; 現実; 実況; 実際; 果実; 真実; 実験; 忠実; ゴムゴムの実; 実用; 実用的; 実施; 実質; 実業; 実業家; 実態; 実習; 充実; 確実; 口実|`mino`ru; `gen``jitsu`; `jik``kyou`; `jis``sai`; `ka``jitsu`; `shin``jitsu`; `jik``ken`; `chuu``jitsu`; gomugomu no `mi`; `jitsu``you`; `jitsu``you``teki`; `jis``shi`; `jis``shitsu`; `jitsu``gyou`; `jitsu``gyou``ka`; `jit``tai`; `jis``shuu`; `juu``jitsu`; `kaku``jitsu`; `kou``jitsu`|to ripen, to bear fruit, to show (good) results; reality; actual state (of things), live/on-the-scene; in actuality, practically; fruit; reality; experiment; faithfulness, devotion, loyalty; gum gum fruit; practiacl use; practical; enforcement, implementation, putting into practice; in essence, effectively, practically; business, industry; businessperson, entrepreneur; true state, actual condition; hands-on practice; fullness, completeness, perfection, substantiality; certain, sure, definite; excuse/pretext (e.g. to meet someone)|mino:実る;jitsu:現実,果実,真実,忠実,実用,実用的,実業,実業家,充実,確実,口実;jixtsu:実況,実際,実験,実施,実質,実態,実習;mi:ゴムゴムの実
公|公表; 公園; 公式; 公費; 公認; 公爵; 公害; 公; 公共; 公平; 公演; 公舎; 公債; 奉公|`kou``hyou`; `kou``en`; `kou``shiki`; `kou``hi`; `kou``nin`; `kou``shaku`; `kou``gai`; ooyake; `kou``kyou`; `kou``hei`; `kou``en`; `kou``sha`; `kou``sai`; `hou``kou`|official announcement; park; formal, official; public funds; official recognition, authorization; duke, prince; pollution; official, public; public, communal; fairness; public performance, exhibition in a foreign country; official residence; public bond, government securities; public duty/service, live-in apprenticeship/domestic service|kou:公表,公園,公式,公費,公認,公爵,公害,公共,公平,公演,公舎,公債,奉公;ooyake:公
刻|時刻表; 刻む; 刻む; 深刻; 遅刻; 先刻|`ji``koku``hyou`; `kiza`mu; `kiza`mu; `shin``koku`; `chi``koku`; `sen``koku`|timetable, schedule; to chop up, to engrave; to cut, chop up, engrave; series, grave; tardiness, being late; just now, a short while ago|koku:時刻表,深刻,遅刻,先刻;kiza:刻む
謝|謝る; 感謝; 謝罪; 陳謝; 慰謝; 謝礼|`ayama`ru; `kan``sha`; `sha``zai`; `chin``sha`; `i``sha`; `sha``rei`|apologize; gratitude; suru: apologize; apology; consolation; reward, remuneration|ayama:謝る;sha:感謝,謝罪,陳謝,慰謝,謝礼
感|感謝; 感銘を受ける; 感覚; 感冒; 感泣; 直感; 感涙; 感染; 臨場感|`kan``sha`; `kan``mei` wo `u`keru; `kan``kaku`; `kan``bou`; `kan``kyuu`; `chok``kan`; `kan``rui`; `kan``sen`; `rin``jou``kan`|gratitude; to be deeply impressed; sense; cold (illness); suru: being moved to tears; intuition, instincts; tears from a strong emotion (e.g. gratitude); infection (viruses, harmful ideas, etc.); the feeling of actually being there, realism|kan:感謝,感銘を受ける,感覚,感冒,感泣,直感,感涙,感染,臨場感
帽|帽子|`bou``shi`|hat|bou:帽子
子|帽子; 調子; 卵子; 精子; お菓子; 扇子; 因子; 子馬; 唐辛子; 子守; 冊子; 皇太子; 障子; 子細; 親子丼; 様子; 子弟; 原子核|`bou``shi`; `chou``shi`; `ran``shi`; `sei``shi`; o`ka``shi`; `sen``su`; `in``shi`; `ko``uma`; `tou``gara``shi`; `ko``mori`; `sas``shi`; `kou``tai``shi`; `shou``ji`; `shi``sai`; `oya``ko``don`; `you``su`; `shi``tei`; `gen``shi``kaku`|hat; how one is, one's condition; egg (ovum); sperm; sweets (candy); folding hand fan; factor, divisor, element; pony; capsicum, chilli pepper; babysitter, nanny; pamphlet; crown prince; paper-sliding door; particulars, reasons, circumstances; chicken and egg bowl; appearance, manner, demeanor, state (of affairs); children, sons, young people; nucleus (of an atom)|shi:帽子,調子,卵子,精子,お菓子,因子,唐辛子,冊子,皇太子,障子,子細,子弟,原子核;su:扇子,様子;ko:子馬,子守,親子丼
領|綱領; 占領; 領地; 大統領; 領事; 宰領|`kou``ryou`; `sen``ryou`; `ryou``chi`; `dai``tou``ryou`; `ryou``ji`; `sai``ryou`|main points, general principles, party platform; occupation, capture; feudal estate; president; consul (e.g. a political consul/representative); suru: to supervise, manage, oversee|ryou:綱領,占領,領地,大統領,領事,宰領
意|同意; 意味; 意見; 用意; 意外; 意図; 意思; 意志; 好意; 意地悪; 意地; 不意; 生意気; 不意打ち; 注意; 敬意; 意向; 決意; 得意; 害意; 意気揚々と; 意匠; 意匠権; 意欲; 任意; 悪意; 随意; 鋭意; 意気地なし; 故意; 賛意; 熱意|`dou``i`; `i``mi`; `i``ken`; `you``i`; `i``gai`; `i``to`; `i``shi`; `i``shi`; `kou``i`; `i``ji``waru`; `i``ji`; `fu``i`; `nama``i``ki`; `fu``i``u`chi; `chuu``i`; `kei``i`; `i``kou`; `ketsu``i`; `toku``i`; `gai``i`; `i``ki` `you`you to; `i``shou`; `i``shou``ken`; `i``yoku`; `nin``i`; `aku``i`; `zui``i`; `ei``i`; `i``ku``ji`nashi; `ko``i`; `san``i`; `netsu``i`|agreement, suru: agree; meaning; opinion; preparations, arrangements; unexpected, surprising; intention, aim; intention, purpose; will, intention; good will, favor; malicious, unkind, bully; stubborness; sudden, unexpected (like fuiuchi); impertinent; surprise attack; caution; respect, honor; trend, tendency, inclination; resolve; good at; malicious intent; triumphantly, elatedly; design; design rights; will, urge, desire; optional, voluntary (に: voluntarily); ill will, bad intentions; voluntary, optional, free, elective; earnestly, wholeheartedly, zealously; coward, spineless; (bad) intent, intention, bad faith; approval, assent; zeal, enthusiasm|i:同意,意味,意見,用意,意外,意図,意思,意志,好意,意地悪,意地,不意,生意気,不意打ち,注意,敬意,意向,決意,得意,害意,意気揚々と,意匠,意匠権,意欲,任意,悪意,随意,鋭意,意気地なし,故意,賛意,熱意
外|外; 外す; 外れる; 意外; 外交; 海外; 外野; 外国; 外科; 外堀; 外科医; 屋外; 望外; 羽目を外す; 例外; 外貌; 外側; 外務省|soto; `hazu`su; `hazu`reru; `i``gai`; `gai``kou`; `kai``gai`; `gai``ya`; `gai``koku`; `ge``ka`; `soto``bori`; `ge``ka``i`; `oku``gai`; `bou``gai`; `ha``me`wo`hazu`su; `rei``gai`; `gai``bou`; `soto``gawa`; `gai``mu``shou`|outside; to unfasten, to miss; to miss, to go astray; unexpected, surprising; diplomacy; foreign, abroad, overseas; outfield; foreign; surgery department; outer moat (castle); surgeon; outdoors; beyond one's hopes/expectations (in a good sense); to go over the top, to act without restraint; exception; outward appearance; outside; Ministry of Foreign Affairs|soto:外,外堀,外側;hazu:外す,外れる,羽目を外す;gai:意外,外交,海外,外野,外国,屋外,望外,例外,外貌,外務省;ge:外科,外科医
思|意思; 不思議; 思し召し; 思想; 思考|`i``shi`; `fu``shi``gi`; `obo`shi`me`shi; `shi``sou`; `shi``kou`|intention, purpose; wonder, strange; will (esp. of god); thought, idea; thought, consideration|shi:意思,不思議,思想,思考;obo:思し召し
氾|氾濫|`han``ran`|to overflow/flood|han:氾濫
濫|氾濫; 濫用|`han``ran`; `ran``you`|to overflow/flood; abuse, misuse, using in excess|ran:氾濫,濫用
端|端麗; 異端; 異端者; 途端; 半端; 中途半端; 極端; 片っ端から; 端末; 端くれ|`tan``rei`; `i``tan`; `i``tan``sha`; `to``tan`; `han``pa`; `chuu``to``han``pa`; `kyoku``tan`; `kata`p`pashi`kara; `tan``matsu`; `hashi`kure|graceful, good-looking; heresy; heretic, deviant; just as, the moment that, as soon as; fragment, incomplete, fraction; half-baked, unfinished; extreme; absolutely every little bit, everything from A to Z; terminal (e.g. computer); unimportant, in name only (X no 端くれ)|tan:端麗,異端,異端者,途端,極端,端末;pa:半端,中途半端;hashi:片っ端から,端くれ
麗|端麗; 麗しい; 奇麗; 美麗; 麗人|`tan``rei`; `uruwa`shii; `ki``rei`; `bi``rei`; `rei``jin`|graceful, good-looking; lovely, beautiful; pretty, clean; gorgeous; beautiful woman|rei:端麗,奇麗,美麗,麗人;uruwa:麗しい
朗|朗々と; 朗読; 朗らか; 悲報と朗報|`rou`routo; `rou``doku`; `hoga`raka; `hi``hou`to`rou``hou`|sonorously, clearly; read aloud, recite; bright, cheerful, melodious; bad news and good news|rou:朗々と,朗読,悲報と朗報;hoga:朗らか
読|朗読; 解読|`rou``doku`; `kai``doku`|read aloud, recite; deciphering|doku:朗読,解読
葬|葬式; 葬る; 埋葬; 葬儀|`sou``shiki`; `houmu`ru; `mai``sou`; `sou``gi`|funeral; to bury; burial; funeral ceremony|sou:葬式,埋葬,葬儀;houmu:葬る
式|葬式; 公式; 株式; 形式; 儀式; 様式; 正式; 閉会式|`sou``shiki`; `kou``shiki`; `kabu``shiki`; `kei``shiki`; `gi``shiki`; `you``shiki`; `sei``shiki`; `hei``kai``shiki`|funeral; formal, official; stock, shares; form (over substance), formality; ceremony, ritual; style, pattern; formal, official; closing ceremony|shiki:葬式,公式,株式,形式,儀式,様式,正式,閉会式
況|不況; 実況; 状況; 好況|`fu``kyou`; `jik``kyou`; `jou``kyou`; `kou``kyou`|depression, recession, slump; actual state (of things), live/on-the-scene; situation, circumstances, state of affairs; brisk market, prosperity (反: 不況)|kyou:不況,実況,状況,好況
族|部族; 異民族; 貴族; 皇族|`bu``zoku`; `i``min``zoku`; `ki``zoku`; `kou``zoku`|tribe; different race, ethnic group; nobles; imperial family|zoku:部族,異民族,貴族,皇族
爆|爆発; 爆弾|`baku``hatsu`; `baku``dan`|explode; bomb|baku:爆発,爆弾
幽|幽霊|`yuu``rei`|ghost|yuu:幽霊
霊|幽霊; 悪霊; 慰霊|`yuu``rei`; `aku``ryou`; `i``rei`|ghost; evil spirit; comfort the spirit (of the dead)|rei:幽霊,慰霊;ryou:悪霊
臆|臆する; 臆病|`oku`suru; `oku``byou`|to be timid, nervous, afraid; cowardly|oku:臆する,臆病
遠|遠心力; 遠い; 遠慮; 遠洋; 永遠; 敬遠|`en``shin``ryoku`; `too`i; `en``ryo`; `en``you`; `ei``en`; `kei``en`|centrifugal force; far; reserve, constraint, holding back, modesty; ocean, deep sea; eternal; to (act respectful but) keep at a distance, baseball: intentionally walking the batter|en:遠心力,遠慮,遠洋,永遠,敬遠;too:遠い
力|遠心力; 力; 能力; 勢力; 威力; 効力; 魅力的; 暴力; 弾力; 磁力; 尽力; 学力; 速力; 語彙力; 浮力; 協力; 注力; 力む|`en``shin``ryoku`; chikara; `nou``ryoku`; `sei``ryoku`; `i``ryoku`; `kou``ryoku`; `mi``ryoku``teki`; `bou``ryoku`; `dan``ryoku`; `ji``ryoku`; `jin``ryoku`; `gaku``ryoku`; `soku``ryoku`; `go``i``ryoku`; `fu``ryoku`; `kyou``ryoku`; `chuu``ryoku`; `riki`mu|centrifugal force; power; ability; power/influence; power, might, authority; efficacy; charming, attractive; violence; elasticity; magnetism, magnetic force; efforts, assistance; academic ability; speed; (the extent of) one's vocabulary; buoyancy; cooperation, support; to focus one's efforts (into a particular thing); to strain oneself|ryoku:遠心力,能力,勢力,威力,効力,魅力的,暴力,弾力,磁力,尽力,学力,速力,語彙力,浮力,協力,注力;chikara:力;riki:力む
工|大工; 工場; 人工; 工面; 着工; 工費; 加工; 加工乳; 細工; 軽工業|`dai``ku`; `kou``jou`; `jin``kou`; `ku``men`; `chak``kou`; `kou``hi`; `ka``kou`; `ka``kou``nyuu`; `sai``ku`; `kei``kou``gyou`|carpenter; factory, plant, workshop; artificial, man-made (op. of 天然); suru: to finagle, to scheme to get some necessary things, to scrounge up; start (construction) work; construction costs; to process (food, etc.) (e.g. in a factory/facility); processed milk; crafsmanship, handiwork, tampering, doctoring; light industry|ku:大工,工面,細工;kou:工場,人工,着工,工費,加工,加工乳,軽工業
交|交際; 交す; 交番; 交流; 外交; 交換; 交差点; 交わる; 交易; 交代; 交わす; 飛び交う|`kou``sai`; `kawa`su; `kou``ban`; `kou``ryuu`; `gai``kou`; `kou``kan`; `kou``sa``ten`; `maji`waru; `kou``eki`; `kou``tai`; `ka`wasu; `to`bi`ka`u|to keep company with, associate with; to exchange (words, messages, etc); police box; (cultural) exchange, (inter-)mingling, (social) networking; diplomacy; exchange; crossing, intersection; to associate with; trade, commerce; alternation, changing; to exchange (words); flitting about, fluttering about|kou:交際,交番,交流,外交,交換,交差点,交易,交代;kawa:交す;maji:交わる;ka:交わす,飛び交う
際|交際; 実際; 国際; 分際; 際; 際; 手際|`kou``sai`; `jis``sai`; `koku``sai`; `bun``zai`; sai; kiwa; `te``giwa`|to keep company with, associate with; in actuality, practically; international; one's social standing / position (usually scornful); occasion; edge, brink, verge (usu. giwa when attached to verb); skill, ability, performance, workmanship, craftsmanship|sai:交際,実際,国際,分際,際;kiwa:際,手際
番|交番; 番号; 局番|`kou``ban`; `ban``gou`; `kyoku``ban`|police box; number; area code (of a phone number)|ban:交番,番号,局番
全|全然; 全て; 全部; 全く; 完全; 健全; 全体主義; 全員; 安全; 全身; 全盛; 全治; 全うする; 全貌; 全滅|`zen``zen`; `sube`te; `zen``bu`; `matta`ku; `kan``zen`; `ken``zen`; `zen``tai``shu``gi`; `zen``in`; `an``zen`; `zen``shin`; `zen``sei`; `zen``chi`; `mat``tou`suru; `zen``bou`; `zen``metsu`|not at all; everything; everything; really, truly; completeness; health, soundness; totalitarianism; all members, everyone; safe; whole body; height of prosperity; a complete recovery (全治十年 = 10 years for complete recovery); to accomplish, to carry out; full picture, whole story, all the details; total destruction|zen:全然,全部,完全,健全,全体主義,全員,安全,全身,全盛,全治,全貌,全滅;sube:全て;matta:全く;maxtsu:全うする;tou:全うする
自|自然; 自称; 自由; 自慢; 自治; 自嘲; 自覚; 自刃; 自ら; 自業自得; 自由民主党; 自民党; 各自; 自薦; 自動; 自重; 自画自賛|`shi``zen`; `ji``shou`; `ji``yuu`; `ji``man`; `ji``chi`; `ji``chou`; `ji``kaku`; `ji``jin`; `mizika`ra; `ji``gou` `ji``toku`; `ji``yuu` `min``shu` `tou`; `ji``min``tou`; `kaku``ji`; `ji``sen`; `ji``dou`; `ji``chou`; `ji``ga``ji``san`|nature; self-proclaimed; freedome; boast, pride; self-government, autonomy; self-deprecation; self-awareness; suicide by sword; self; reaping what you sow; Liberal Democratic Party; LDP; each individual; self-nomination; automatic; self-restraint, self-respect; singing ones own praises, praising ones own wares|shi:自然,自称,自由,自慢,自治,自嘲,自覚,自刃,自業自得,自由民主党,自民党,各自,自薦,自動,自重,自画自賛;mizika:自ら
魔|魔術; 悪魔; 誤魔化す|`ma``jutsu`; `aku``ma`; `go``ma``ka`su|magic; demon; to deceive, to swindle, to fool|ma:魔術,悪魔,誤魔化す
術|魔術; 手術; 美術; 美術館; 芸術|`ma``jutsu`; `shu``jutsu`; `bi``jutsu`; `bi``jutsu``kan`; `gei``jutsu`|magic; surgery; art; art gallery; art, the arts|jutsu:魔術,手術,美術,美術館,芸術
殴|殴打; 殴る|`ou``da`; `nagu`ru|hit, beat, strike; punch|ou:殴打;nagu:殴る
打|殴打; 打つ; 不意打ち; 打撃; 博打; 犠打; 値打ち|`ou``da`; `u`tsu; `fu``i``u`chi; `da``geki`; bakuchi; `gi``da`; `ne``u`chi|hit, beat, strike; hit; surprise attack; blow, shock, batting (baseball); gambling; sacrifice bunt; value, worth, merit|da:殴打,打撃,犠打;u:打つ,不意打ち,値打ち;bakuchi:博打
名|名称; 氏名; 著名; 名著; 名刺; 有名; 姓名; 名詞; 代名詞; 名無しの権兵衛; 汚名; 芸名|`mei``shou`; `shi``mei`; `cho``mei`; `mei``cho`; `mei``shi`; `yuu``mei`; `sei``mei`; `mei``shi`; `dai``mei``shi`; `na``na`shino`gon``be``e`; `o``mei`; `gei``mei`|name, title; full name, identity; famous, noted, eminent, distinguished, celebrated; famous book, masterpiece; business card; famous; full name (last name and first name); noun; pronoun; Mr. Nobody, John Doe; bad name, bad reputation, disgrace; stage name|mei:名称,氏名,著名,名著,名刺,有名,姓名,名詞,代名詞,汚名,芸名;na:名無しの権兵衛
称|名称; 自称; 通称; 愛称; 通称; 称える; 称賛|`mei``shou`; `ji``shou`; `tsuu``shou`; `ai``shou`; `tsuu``shou`; `tata`eru; `shou``san`|name, title; self-proclaimed; popular/nick-name; pet name (affectionate nickname); trade, commerce; to praise; praise, commendation|shou:名称,自称,通称,愛称,称賛;tata:称える
通|通る; 通す; 通う; 通称; 通称; 通常; 通告; 不通; 通勤; 通路; 通訳; 共通; 通過; 人通り; 融通; 通; 通弊; 通例|`too`ru; `too`su; `kayo`u; `tsuu``shou`; `tsuu``shou`; `tsuu``jou`; `tsuu``koku`; `fu``tsuu`; `tsuu``kin`; `tsuu``ro`; `tsuu``yaku`; `kyou``tsuu`; `tsuu``ka`; `hito``doo`ri; `yuu``zuu`; tsuu; `tsuu``hei`; `tsuu``rei`|to pass through; to let through; to go to (school, work); popular/nick-name; trade, commerce; what is normal, what is usual; notice, announcement; suspension, interruption, stoppage (ni naru: interrupted, e.g. train service); commuting to work; passage, pathway; interpret (e.g. interpreter); commonality; to pass (through, by, etc.); pedestrain traffic; to lend (e.g. stuff to someone); expert, connoisseur; common evil, common fault; custom, convention, rule|too:通る,通す,人通り;kayo:通う;tsuu:通称,通常,通告,不通,通勤,通路,通訳,共通,通過,通,通弊,通例;zuu:融通
