鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
績|成績; 功績|`sei``seki`; `kou``seki`|grades, results; achievement, merit|seki:成績,功績
功|功績; 武功|`kou``seki`; `bu``kou`|achievement, merit; military feats/achievements|kou:功績,武功
焼|焼く; 日焼け; 焼死|`ya`ku; `hi``ya`ke; `shou``shi`|to burn, to bake; sunburn; death by fire|ya:焼く,日焼け;shou:焼死
獄|地獄; 投獄; 出獄; 脱獄; 疑獄; 監獄; 獄舎|`ji``goku`; `tou``goku`; `shutsu``goku`; `datsu``goku`; `gi``goku`; `kan``goku`; `goku``sha`|hell; suru: to incarcerate, to imprison; to be released from prison; escaping from prison; bribery scandal; prison; prison (building)|goku:地獄,投獄,出獄,脱獄,疑獄,監獄,獄舎
舎|田舎; 校舎; 庁舎; 宿舎; 公舎; 寄宿舎; 獄舎; 牧舎|inaka; `kou``sha`; `chou``sha`; `shuku``sha`; `kou``sha`; `ki``shuku``sha`; `goku``sha`; `boku``sha`|rural area; school building; government building; lodging, accomodations; official residence; boarding house, dorms, residence hall; prison (building); barn, stable|inaka:田舎;sha:校舎,庁舎,宿舎,公舎,寄宿舎,獄舎,牧舎
弓|弓矢; 弓道; 弓状|`yumi``ya`; `kyuu``dou`; `kyuu``jou`|bow and arrow; archery; bow-shaped|yumi:弓矢;kyuu:弓道,弓状
姓|姓; 姓名; 同姓|sei; `sei``mei`; `dou``sei`|family name, surname; full name (last name and first name); same surname|sei:姓,姓名,同姓
鐘|鐘; 警鐘; 鐘楼|kane; `kei``shou`; `shou``rou`|bell (like a church bell); alarm bell, fire bell; bell tower, belfry|kane:鐘;shou:警鐘,鐘楼
給|給料; 昇給; 給食; 支給; 月給; 補給; 配給; 発給; 給与|`kyuu``ryou`; `shou``kyuu`; `kyuu``shoku`; `shi``kyuu`; `gek``kyuu`; `ho``kyuu`; `hai``kyuu`; `hak``kyuu`; `kyuu``yo`|salary, wages, pay; salary increase, suru: to get a pay raise; providing a meal, lunch service (e.g. at work); provision, supply, allowance; monthly salary; supplying, replenishment; distribution, rationing (of food, gas); issuance (e.g. of a passport); pay, salary, wage|kyuu:給料,昇給,給食,支給,月給,補給,配給,発給,給与
格|格; 格上; 資格; 価格; 人格; 合格; 性格; 格好; 格別; 体格; 失格; 骨格; 風格|kaku`; `kaku``ue`; `shi``kaku`; `ka``kaku`; `jin``kaku`; `gou``kaku`; `sei``kaku`; `kak``kou`; `kaku``betsu`; `tai``kaku`; `shik``kaku`; `kok``kaku`; `fuu``kaku`|status, rank; a higher rank/status; qualifications, capabilities, certifications; price, value; persona, personality, character; passing (e.g. grades); personality, someone's nature, disposition; shape, form, appearance, style; particular(ly), especially; build, physique, frame; disqualification, elimination, being unfit (for); skeleton, framework; style, appearance, personality|kaku:格,格上,資格,価格,人格,合格,性格,格別,体格,失格,骨格,風格;kaxtsu:格好
獣|獣; 野獣|kemono; `ya``juu`|beast; wild beast, wild animal|kemono:獣;juu:野獣
恥|恥ずかしい; 無恥; 羞恥心|`ha`zukashii; `mu``chi`; `shuu``chi``shin`|embarassing; shameless; sense of shame|ha:恥ずかしい;chi:無恥,羞恥心
羞|羞恥心|`shuu``chi``shin`|sense of shame|shuu:羞恥心
港|港; 空港; 出港|minato; `kuu``kou`; `shuk``kou`|port; airport; leaving port|minato:港;kou:空港,出港
撮|撮る; 撮影|`to`ru; `satsu``ei`|to take (a photo); filming/photographing|to:撮る;satsu:撮影
翌|翌日; 翌朝; 翌月|`yoku``jitsu`; `yoku``asa`; `yoku``getsu`|the following day; the following morning; the following morning|yoku:翌日,翌朝,翌月
陪|陪審員; 陪観; 陪食|`bai``shin``in`; `bai``kan`; `bai``shoku`|member of the jury; viewing something in the company of one's superiors; eating in the company of one's superiors|bai:陪審員,陪観,陪食
飯|飯; 御飯; 夕飯; 残飯; 天津飯|meshi; `go``han`; `yuu``han`; `zan``pan`; `ten``shin``han`|food; cooked rice, a meal; dinner; left-overs (food); crab omlette over rice|meshi:飯;han:御飯,夕飯,残飯,天津飯
夕|夕飯|`yuu``han`|dinner|yuu:夕飯
比|比べる; 比率; 対比; 比重; 比例|`kura`beru; `hi``ritsu`; `tai``hi`; `hi``juu`; `hi``rei`|to compare; ratio; suru: contrast, juxtapose, compare; specific gravity, relative importance; proportion|kura:比べる;hi:比率,対比,比重,比例
率|比率; 確率; 率いる; 軽率; 統率; 率直|`hi``ritsu`; `kaku``ritsu`; `hiki`iru; `kei``sotsu`; `tou``sotsu`; `soc``choku`|ratio; probability, liklihood, chances; to lead; thoughtless, imprudent, rash; suru: to command, lead; frankly, directly, candidly|ritsu:比率,確率;hiki:率いる;sotsu:軽率,統率;soxtsu:率直
